Stage,Final_Loss,Mean_PSNR_dB
1,0.001482,25.7984
2,0.001353,26.1091
3,0.001341,26.1888
4,0.001316,26.2444
5,0.001318,26.2544
6,0.001302,26.2847
7,0.001301,26.2955
8,0.001299,26.3012
9,0.001292,26.3401
10,0.001285,26.3473
11,0.001290,26.3609
12,0.001284,26.3568
13,0.001286,26.3681
14,0.001280,26.3638
15,0.001280,26.3733
